title,combined
Fear Street: Part Two - 1978,"shadyside, 1978. school's out for summer and the activities at camp nightwing are about to begin. but when another shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival. leighjaniak drama horror mystery"
The Lost Daughter,a woman's beach vacation takes a dark turn when she begins to confront the troubles of her past. maggiegyllenhaal drama
The Harder They Fall,"when an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge. jeymessamuel action drama western"
Kate,a jaded assassin assigned to target a yakuza clan has 24 hours to find out who poisoned her and get vengeance before she dies. cedricnicolas-troyan action adventure crime
Don't Breathe 2,"the sequel is set in the years following the initial deadly home invasion, where norman nordstrom lives in quiet solace until his past sins catch up to him. rodosayagues action crime horror"
Those Who Wish Me Dead,a teenage murder witness finds himself pursued by twin assassins in the montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all. taylorsheridan action drama thriller
The White Tiger,an ambitious indian driver uses his wit and cunning to escape from poverty and rise to the top. an epic journey based on the new york times bestseller. raminbahrani crime drama
Without Remorse,an elite navy seal goes on a path to avenge his wife's murder only to find himself inside of a larger conspiracy. stefanosollima action thriller war
Reminiscence,"nick bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client mae. a simple case becomes an obsession after she disappears and he fights to learn the truth about her. lisajoy mystery romance sciencefiction"
Spiral,"a criminal mastermind unleashes a twisted form of justice in spiral, the terrifying new chapter from the book of saw. darrenlynnbousman crime horror mystery"
Resident Evil: Welcome to Raccoon City,"set in 1998, this origin story explores the secrets of the mysterious spencer mansion and the ill-fated raccoon city. johannesroberts action horror sciencefiction"
Drive My Car,a renowned stage actor and director learns to cope with a big personal loss when he receives an offer to direct a production of uncle vanya in hiroshima. ryûsukehamaguchi drama
The Many Saints of Newark,"witness the making of tony soprano. the story that reveals the humanity behind tony's struggles and the influence his family - especially his uncle, dickie moltisanti - had over him becoming the most iconic mob boss of all time. alantaylor crime drama"
Fear Street: Part Three - 1666,the origins of sarah fier's curse are finally revealed as history comes full circle on a night that changes the lives of shadysiders forever. leighjaniak horror mystery
The Mauritanian,mohamedou ould slahi fights for freedom after being detained and imprisoned without charge by the u.s. government for years. kevinmacdonald biography crime drama
Love Hard,"an la girl, unlucky in love, falls for an east coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. this lighthearted romantic comedy chronicles her attempt to reel in love. hernánjiménez comedy romance"
Infinite,a man discovers that his hallucinations are actually visions from past lives. antoinefuqua action sciencefiction thriller
Escape Room: Tournament of Champions,"six people unwillingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive. joining forces with two of the original survivors, they soon discover they've all played the game before. adamrobitel action adventure horror"
Chaos Walking,two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone. dougliman action adventure fantasy
Blood Red Sky,a woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight. peterthorwarth action adventure drama
Titane,"following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. juliaducournau drama horror sciencefiction"
Toofaan,the story of a boxer and the struggles he faces on his journey to get to the national level competition. rakeyshomprakashmehra action drama sport
Stillwater,"a father travels from oklahoma to france to help his estranged daughter, who is in prison for a murder she claims she didn't commit. tommccarthy crime drama mystery"
In the Heights,"a film version of the broadway musical in which usnavi, a sympathetic new york bodega owner, saves every penny every day as he imagines and sings about a better life. jonm.chu drama musical romance"
Stowaway,a three-person crew on a mission to mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board. joepenna adventure sciencefiction thriller
Gunpowder Milkshake,three generations of women fight back against those who could take everything from them. navotpapushado action crime thriller
The Witcher: Nightmare of the Wolf,"escaping from poverty to become a witcher, vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past. kwangilhan animation action adventure"
The Hand of God,"in 1980s naples, young fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker. paolosorrentino drama"
Sardar Udham,"a biopic detailing the 2 decades that punjabi sikh revolutionary, udham singh, spent planning the assassination of the man responsible for the jallianwala bagh massacre. shoojitsircar biography crime drama"
The Ice Road,"after a remote diamond mine collapses in far northern canada, a 'big-rig' ice road driver must lead an impossible rescue mission over a frozen lake to save the trapped miners. jonathanhensleigh action adventure thriller"
Cinderella,"a modern movie musical with a bold take on the classic fairy tale. our ambitious heroine has big dreams and with the help of her fab godmother, she perseveres to make them come true. kaycannon comedy family fantasy"
Outside the Wire,"in the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack. mikaelhåfström action adventure fantasy"
Thunder Force,"in a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city. benfalcone action adventure comedy"
Being the Ricardos,follows lucy and desi as they face a crisis that could end their careers--and another that could end their marriage. aaronsorkin biography drama
Snake Eyes,a g.i. joe spin-off centered around the character of snake eyes. robertschwentke action adventure crime
Oxygen,"a woman wakes in a cryogenic chamber with no recollection of how she got there. as she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare. alexandreaja drama fantasy sciencefiction"
Antlers,"in an isolated oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature. scottcooper drama horror mystery"
Dhamaka,"reassigned from tv to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air. rammadhvani,heavenveersinghhayer action crime drama"
Antim: The Final Truth,the cop played by salman fights the land mafia in the film. maheshmanjrekar action crime drama
