title,combined
Last Man Down,"john wood left the pieces of a broken civilisation behind, to go back to his roots in the woodland, after a virus pandemic struck the world. fansunjie action sciencefiction"
Peter Rabbit 2: The Runaway,"thomas and bea are now married and living with peter and his rabbit family. bored of life in the garden, peter goes to the big city, where he meets shady characters and ends up creating chaos for the whole family. willgluck adventure comedy crime"
Malik,"a past ridden with crime, death and pain is recounted to freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle sulaiman, an aging patriarch, while behind bars. maheshnarayanan action biography crime"
Good on Paper,"after years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true. kimmygatewood comedy romance"
Deadly Illusions,"after a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur. annaelizabethjames drama thriller"
Locked Down,"a couple attempts a high-risk, high-stakes jewelry heist at a department store. dougliman comedy crime romance"
Official Competition,"a wealthy businessman hires a famous filmmaker to help make a smash hit film. marianocohn,gastónduprat comedy drama"
Major Grom: Plague Doctor,"supercop grom fights crime in st. petersburg - an uphill battle. a vigilante starts killing the powerful, who escaped justice. olegtrofim action crime"
Paper Lives,"mehmet is a cherished fellow who runs the solid waste warehouse in the neighborhood, he helps everyone in need, especially homeless children and teenagers since he was one too. canulkay drama"
Prisoners of the Ghostland,a notorious criminal must break an evil curse in order to rescue an abducted girl who has mysteriously disappeared. sionsono fantasy horror thriller
Black Box,a young and talented black box analyst is on a mission to solve the reason behind the deadly crash of a brand new aircraft. yanngozlan drama mystery thriller
Evangelion: 3.0+1.01 Thrice Upon a Time,"the fourth and final installment of the rebuild of evangelion. misato and her anti-nerv group wille arrive in paris, a city now red from core-ization. crew from the flagship wunder land on a containment tower. mahiromaeda,katsuichinakayama,kazuyatsurumaki,hideakianno,joefria animation action drama"
Mad God,"the assassin travels through a nightmare underworld of tortured souls, ruined cities and wretched monstrosities forged from the primordial horrors of the unconscious mind of phil tippett, the world's preeminent stop-motion animator. philtippett animation fantasy horror"
Crisis,"set against the backdrop of the opioid epidemic, stories of an undercover cop, a professor and a grieving mother collide. nicholasjarecki drama thriller"
Rashmi Rocket,"a small-town girl overcomes all societal barriers to become a national-level athlete, but her glory is hindered when she is asked to undergo a gender test. akarshkhurana drama sport"
Wolf,a high-concept arthouse drama about a boy who believes he is a wolf. nathaliebiancheri drama mystery thriller
Jagame Thandhiram,"a nomadic gangster finds himself caught between good and evil in a fight for a place to call home. starring dhanush, aishwarya lekshmi and james cosmo. karthiksubbaraj action crime drama"
Vakeel Saab,three girls find themselves accused of attempt to murder after escaping molestation. their only hope is an alcoholic lawyer who agrees to take up the case. venusriram action crime drama
The Good Boss,"awaiting a visit by a committee that could give his company an award for excellence, the owner of an industrial scales manufacturing business tries to resolve any problems from his workers in enough time. fernandoleóndearanoa comedy drama"
First Signal,when air force space command receives a signal from an alien satellite in earth orbit an emergency meeting with the president reveals a government conspiracy. marklund drama history sciencefiction
The Misfits,"after being recruited by a group of unconventional thieves, renowned criminal richard pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others. rennyharlin action adventure comedy"
Ferry,"ruthless ferry bouman is sent to his native region of brabant by his boss brink to avenge an attack on their gang. when he meets lovely danielle and old family feuds resurface, brabant starts to pierce his steel armour. ceciliaverheyden action crime drama"
Firebird,"firebird follows a handsome, soulful young soldier who embarks on a clandestine sexual affair with a charismatic fighter pilot on a soviet air force base at the height of 1970's communist rule. peeterrebane biography drama romance"
Toma,"biopic about toma zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul. draganbjelogrlic,zoranlisinac biography drama music"
